
                             RF1_thin_desl_1e5  RF1_thin_desl_1e5  U1_thin_desl_1e5_
                  X                _aplic             _apoio             aplic      

              508.754E-03        421.445           -421.45              13.8753E-03 
              510.002E-03        423.356           -423.362             13.9383E-03 
              511.251E-03        425.267           -425.274             14.0013E-03 
              512.51E-03         427.193           -427.203             14.0649E-03 
              513.758E-03        429.103           -429.114             14.1278E-03 
              515.007E-03        431.013           -431.024             14.1908E-03 
              516.255E-03        432.922           -432.934             14.2536E-03 
              517.503E-03        434.831           -434.842             14.3165E-03 
              518.752E-03        436.739           -436.75              14.3794E-03 
              520.E-03           438.646           -438.657             14.4423E-03 
              521.26E-03         440.569           -440.581             14.5056E-03 
              522.508E-03        442.474           -442.487             14.5684E-03 
              523.756E-03        444.378           -444.393             14.6312E-03 
              525.005E-03        446.282           -446.298             14.694E-03  
              526.253E-03        448.184           -448.202             14.7566E-03 
              527.502E-03        450.085           -450.104             14.8193E-03 
              528.761E-03        452.002           -452.022             14.8825E-03 
              530.009E-03        453.901           -453.922             14.9451E-03 
              531.258E-03        455.8             -455.821             15.0077E-03 
              532.506E-03        457.698           -457.719             15.0702E-03 
              533.754E-03        459.594           -459.615             15.1327E-03 
              535.003E-03        461.489           -461.509             15.1951E-03 
              536.251E-03        463.382           -463.403             15.2575E-03 
              537.511E-03        465.289           -465.312             15.3205E-03 
              538.759E-03        467.18            -467.204             15.3828E-03 
              540.007E-03        469.068           -469.095             15.445E-03  
              541.256E-03        470.955           -470.983             15.5072E-03 
              542.504E-03        472.84            -472.87              15.5694E-03 
              543.753E-03        474.724           -474.754             15.6314E-03 
              545.001E-03        476.607           -476.637             15.6935E-03 
              546.26E-03         478.505           -478.535             15.756E-03  
              547.509E-03        480.385           -480.415             15.818E-03  
              548.757E-03        482.263           -482.292             15.8799E-03 
              550.005E-03        484.137           -484.167             15.9417E-03 
              551.254E-03        486.01            -486.042             16.0034E-03 
              552.502E-03        487.881           -487.914             16.0651E-03 
              553.75E-03         489.75            -489.784             16.1268E-03 
              555.01E-03         491.634           -491.671             16.1889E-03 
              556.258E-03        493.499           -493.537             16.2503E-03 
              557.507E-03        495.362           -495.401             16.3118E-03 
              558.755E-03        497.223           -497.262             16.3731E-03 
              560.003E-03        499.082           -499.121             16.4343E-03 
              561.252E-03        500.939           -500.978             16.4956E-03 
              562.5E-03          502.794           -502.833             16.5567E-03 
              563.76E-03         504.662           -504.702             16.6182E-03 
              565.008E-03        506.512           -506.551             16.6792E-03 
              566.256E-03        508.358           -508.399             16.7401E-03 
              567.505E-03        510.202           -510.245             16.8009E-03 
              568.753E-03        512.044           -512.088             16.8616E-03 
              570.001E-03        513.883           -513.929             16.9222E-03 
              571.261E-03        515.735           -515.783             16.9833E-03 
              572.509E-03        517.569           -517.617             17.0438E-03 
              573.758E-03        519.4             -519.449             17.1041E-03 
              575.006E-03        521.229           -521.277             17.1644E-03 
              576.254E-03        523.056           -523.104             17.2246E-03 
              577.503E-03        524.879           -524.927             17.2847E-03 
              578.751E-03        526.699           -526.747             17.3447E-03 
              580.011E-03        528.532           -528.581             17.4051E-03 
              581.259E-03        530.346           -530.396             17.4649E-03 
              582.507E-03        532.156           -532.208             17.5246E-03 
              583.756E-03        533.964           -534.017             17.5842E-03 
              585.004E-03        535.768           -535.823             17.6437E-03 
              586.252E-03        537.57            -537.626             17.7031E-03 
              587.501E-03        539.368           -539.424             17.7624E-03 
              588.76E-03         541.179           -541.236             17.8221E-03 
              590.009E-03        542.971           -543.028             17.8812E-03 
              591.257E-03        544.76            -544.817             17.9402E-03 
              592.505E-03        546.546           -546.603             17.999E-03  
              593.754E-03        548.328           -548.385             18.0577E-03 
              595.002E-03        550.106           -550.164             18.1164E-03 
              596.25E-03         551.88            -551.939             18.1749E-03 
              597.51E-03         553.666           -553.727             18.2338E-03 
              598.758E-03        555.434           -555.496             18.292E-03  
              600.007E-03        557.197           -557.261             18.3502E-03 
              601.255E-03        558.957           -559.022             18.4082E-03 
              602.503E-03        560.714           -560.779             18.4661E-03 
              603.752E-03        562.467           -562.532             18.5239E-03 
              605.E-03           564.216           -564.281             18.5816E-03 
              606.26E-03         565.977           -566.042             18.6396E-03 
              607.508E-03        567.719           -567.784             18.697E-03  
              608.756E-03        569.456           -569.522             18.7543E-03 
              610.005E-03        571.189           -571.256             18.8115E-03 
              611.253E-03        572.918           -572.986             18.8685E-03 
              612.501E-03        574.643           -574.712             18.9253E-03 
              613.761E-03        576.379           -576.45              18.9826E-03 
              615.009E-03        578.096           -578.168             19.0392E-03 
              616.258E-03        579.809           -579.882             19.0957E-03 
